x1,x2,y_type,y_score
in Indonesia boat sinking,in Indonesia boat capsize,EQUI,5
,Indonesia,NOALI,0
Death toll,Death toll,EQUI,5
,,NOALI,0
leads,leads,EQUI,5
-,,NOALI,0
in Iran presidential vote preliminary results,in initial Iran count,EQUI,5
Rouhani,Rouhani,EQUI,5
increases security,bracing,SIMI,4
Egypt,Egypt,EQUI,5
before pro-Morsi protests,for massive protests,SPE1,4
hits,climbs,EQUI,5
death toll,death toll,EQUI,5
362,to 580,SIMI,2
Bangladesh building collapse,Bangladesh building-collapse,EQUI,5
,,NOALI,0
",",,NOALI,0
in Nevada middle school shooting,Nevada in middle school shooting,EQUI,5
2 injured,2 hurt,EQUI,5
2 dead,2 dead,EQUI,5
,",",NOALI,0
takes effect,,NOALI,0
mixed sex schools ban,in mixed-sex school ` ban ',EQUI,5
Hamas,Hamas,EQUI,5
gives,gives,EQUI,5
Russia,Russia,EQUI,5
initial OK,initial approval,EQUI,5
to American adoption ban,to adoption ban,SPE1,4
Among 7 Dead,among 7 dead,EQUI,5
Gunman,Gunman,EQUI,5
After Florida Apartment Shooting,after Fla. apartment shootout,EQUI,5
,new,NOALI,NIL
New information,after they received information,SPE1,4
an allegation,,NOALI,NIL
Murder claim over Diana 's death,Diana and Fayed death info,SPE1,4
that they were murdered,,NOALI,NIL
to the police,by police,EQUI,5
,again,NOALI,NIL
to include,,NOALI,NIL
,.,NOALI,NIL
which has been passed,,NOALI,NIL
,received,NOALI,NIL
of Princess Diana and Dodi Fayed,of Princess Diana and Dodi Al Fayed,EQUI,5
relating to,,NOALI,NIL
the deaths,The deaths,EQUI,5
,are being looked at,NOALI,NIL
is thought,,NOALI,NIL
tough stand,tough stance,EQUI,5
pledges,promises,EQUI,5
Narendra Modi,India 's Modi,EQUI,5
against Pakistan,against Pakistan,EQUI,5
gays,on gays,EQUI,5
on admitting,on lifting ban,EQUI,5
delay,delays,EQUI,5
decision,vote,SIMI,4
,of America,NOALI,NIL
Boy Scouts,Boy Scouts,EQUI,5
0.26 pc,1.53 %,SIMI,2
Tokyo stocks,Tokyo stocks,EQUI,5
close down,close down,EQUI,5
USA,U.S.,EQUI,5
in row,,NOALI,0
expels,expels,EQUI,5
Venezuela diplomats,Venezuelan diplomats,EQUI,5
,in annual profits,NOALI,NIL
but,,NOALI,NIL
,Stansted,NOALI,NIL
,but,NOALI,NIL
growth likely to slow,of slower growth,EQUI,5
reports,reports,EQUI,5
Ryanair,Ryanair,EQUI,5
warns,warns,EQUI,5
record profits,13 % rise,SPE2,3
,,NOALI,NIL
this year,this year,EQUI,5
to commemorate,,NOALI,NIL
Cambodian workers,,NOALI,NIL
' deaths,,NOALI,NIL
,summoned,NOALI,NIL
emerge,,NOALI,NIL
Opposition leaders,Cambodia opposition leaders,SPE2,4
,to court,NOALI,NIL
Commonwealth summit,Commonwealth summit,EQUI,5
Indian media,Indian PM,REL,1
,,NOALI,NIL
,snubs,NOALI,NIL
gay marriage bill,gay marriage,SPE1,4
backs,backs,EQUI,5
Yvette Cooper,White House,REL,1
,',NOALI,NIL
100 killed,9 Dead,SIMI,2
,',NOALI,NIL
in new Darfur tribal clashes,in New Darfur Tribal Clash,EQUI,5
after deadly Bangladesh building collapse,as Bangladesh building toll,SPE1,4
,to 352,NOALI,NIL
8,Four,SIMI,3
arrested,arrested,EQUI,5
,rises,NOALI,NIL
to colleges,,NOALI,NIL
Afghans,Afghan District Governor,REL,2
Taliban,To Taliban,EQUI,5
",",,NOALI,NIL
loom,,NOALI,NIL
even as,,NOALI,NIL
flock,,NOALI,NIL
,Defects,NOALI,NIL
over gay marriage,,NOALI,NIL
Generations,,NOALI,NIL
,G20 Summit,NOALI,NIL
,ends,NOALI,NIL
,over Syria,NOALI,NIL
divided,divided,EQUI,5
Taliban attacks,Series of attacks,SPE1,4
in Afghanistan,in Afghanistan,EQUI,5
kill,kill,EQUI,5
17 civilians,10 police,SIMI,3
healing,,NOALI,NIL
,return,NOALI,NIL
Texas residents,Residents,SPE1,4
seek,,NOALI,NIL
after deadly blast,to Texas blast site,SPE1,4
at church,,NOALI,NIL
,Counts,NOALI,NIL
for president,After Presidential Runoff,REL,3
to vote,Votes,SIMI,3
Mali,Mali,EQUI,5
due,,NOALI,NIL
overthrown,stepping down,SIMI,3
,",",NOALI,NIL
Central African Republic president,Central African Republic President,EQUI,5
by rebels,,NOALI,NIL
,PM,NOALI,NIL
,confirms,NOALI,NIL
,that,NOALI,NIL
,South Korea,NOALI,NIL
Russia,,NOALI,NIL
,has conducted,NOALI,NIL
condemns,,NOALI,NIL
North Korean nuclear test,North Korea controversial third nuclear test,SPE2,3
in Russian coal mine blast,in Russia coal mine blast,EQUI,5
trapped,killed,SIMI,2
18,Ten,SIMI,3
"700,000",,NOALI,NIL
five dead,,NOALI,NIL
U.S. Northeast,US Northeast,EQUI,5
",",,NOALI,NIL
",",,NOALI,NIL
Blizzard hammers,Blizzard wallops,SIMI,4
power,,NOALI,NIL
lose,,NOALI,NIL
,",",NOALI,NIL
,closes,NOALI,NIL
,roads,NOALI,NIL
New Zealand,Iran,SIMI,2
6.9 magnitude earthquake,5.6 magnitude earthquake,SIMI,3
hits,shakes,EQUI,5
,,NOALI,NIL
,,NOALI,NIL
Daily Press Briefing,Daily Press Briefing,EQUI,5
South Sudan,Syria,SIMI,2
,on U.S. adoptions,NOALI,NIL
,to consider,NOALI,NIL
on prostitution,,NOALI,NIL
of law,,NOALI,NIL
reform,,NOALI,NIL
French parliament,Russian parliament,SIMI,2
,ban,NOALI,NIL
backs,,NOALI,NIL
focuses,,NOALI,NIL
,takes control,NOALI,NIL
Israeli military,,NOALI,NIL
on northern border,,NOALI,NIL
,'s military,NOALI,NIL
,"over Muslim Brotherhood , supporters",NOALI,NIL
,Egypt,NOALI,NIL
,Egypt Youth Leader,NOALI,NIL
,Detained,NOALI,NIL
for Africa Day,,NOALI,NIL
meet,,NOALI,NIL
,for Four Days,NOALI,NIL
AU leaders,,NOALI,NIL
in prison,in prison,EQUI,5
Manning,Ariel Castro,SIMI,1
to 35 years,"to 1,000 years",SIMI,1
sentenced,sentenced,EQUI,5
of deadly Damascus nerve gas attack,,NOALI,NIL
,Iranian computer attacks,NOALI,NIL
,get,NOALI,NIL
Syria,,NOALI,NIL
denies,,NOALI,NIL
,to repel,NOALI,NIL
reports,,NOALI,NIL
,US allies,NOALI,NIL
,help,NOALI,NIL
lower,higher,OPPO,4
close,close,EQUI,5
China stocks,China stocks,EQUI,5
on Friday,on Wednesday,SIMI,3
competing,,NOALI,NIL
,the clock,NOALI,NIL
,on siestas,NOALI,NIL
,Spain,NOALI,NIL
this Christmas,,NOALI,NIL
Two Santa trackers,,NOALI,NIL
,turning back,NOALI,NIL
says,,NOALI,NIL
,for survivors,NOALI,NIL
Mayor,,NOALI,NIL
14 dead,,NOALI,NIL
in Texas fertilizer plant blast,of Texas fertiliser plant blast,EQUI,5
,Rescuers,NOALI,NIL
,search,NOALI,NIL
,sarin gas in,NOALI,NIL
?,,NOALI,NIL
Can,,NOALI,NIL
,may have used,NOALI,NIL
chemical weapons,chemical weapons,EQUI,5
,says,NOALI,NIL
the U.S.,US,EQUI,5
trust,,NOALI,NIL
Syria,Syria,EQUI,5
to hand over,,NOALI,NIL
over prisoner swap,,NOALI,NIL
,call,NOALI,NIL
convene,,NOALI,NIL
",",,NOALI,NIL
Israelis,,NOALI,NIL
,for internal probe,NOALI,NIL
,Israeli lawmakers,NOALI,NIL
Palestinians,,NOALI,NIL
,into case,NOALI,NIL
,of Prisoner X,NOALI,NIL
plan,plans,EQUI,5
polymer notes,polymer Naira notes,SPE2,3
reiterates,announces,SIMI,2
CBN,,NOALI,NIL
,Nigeria,NOALI,NIL
to phase out,to change,SIMI,2
'',,NOALI,NIL
``,,NOALI,NIL
,dies,NOALI,NIL
India gang-rape victim,Indian rape victim,SPE1,4
,in Singapore hospital,NOALI,NIL
against the odds,,NOALI,NIL
struggling,,NOALI,NIL
Yacimovich,Israel,SPE1,3
Palestinian prisoners,104 Palestinian prisoners,SPE2,4
to approve,agrees,SIMI,4
release,to free,EQUI,5
urges,,NOALI,NIL
cabinet,,NOALI,NIL
Israeli envoys,Israeli envoy,SIMI,4
,Britain,NOALI,NIL
over settlement plans,over settlements,SPE1,4
summoned,summons,EQUI,5
shot,,NOALI,NIL
,who faked death,NOALI,NIL
Man,,NOALI,NIL
,of officer,NOALI,NIL
in Leeds,,NOALI,NIL
,ouster,NOALI,NIL
,Navy panel,NOALI,NIL
arrested,,NOALI,NIL
after police officer,,NOALI,NIL
,urges,NOALI,NIL
in State of the Union,'s State of the Union speech,SPE2,2
,,NOALI,NIL
,What,NOALI,NIL
to refocus,,NOALI,NIL
,Factbox,NOALI,NIL
Obama,in Obama,EQUI,5
on economy,,NOALI,NIL
,to look for,NOALI,NIL
,,NOALI,NIL
convicted,get jail time,EQUI,5
Five,3,SIMI,4
in Kosovo organ trafficking case,Kosovo in organ trafficking case,EQUI,5
Wave of bombings,Car bombs,SPE2,3
kills,kill,EQUI,5
,at least,NOALI,NIL
15,49,SIMI,2
in Iraq,in Iraq,EQUI,5
kill,kill,EQUI,5
nine people,6 soldiers,SPE2,2
in northwest Pakistan,in northwest Pakistan,EQUI,5
Gunmen,Militants,EQUI_POL,5
after deadly Bangladesh building collapse,after Bangladesh building collapse,SPE1,4
,Workers,NOALI,NIL
8,,NOALI,NIL
arrested,,NOALI,NIL
,protest,NOALI,NIL
Snowden,Snowden,EQUI,5
asks,,NOALI,NIL
to stay,,NOALI,NIL
in Russia,,NOALI,NIL
,releases,NOALI,NIL
,first Russia video,NOALI,NIL
Thai police,,NOALI,NIL
tear gas,,NOALI,NIL
,Brazil leader,NOALI,NIL
,breaks,NOALI,NIL
,silence,NOALI,NIL
against protesters,about protests,REL,2
use,,NOALI,NIL
8,14,SIMI,3
2 car bombs,Car bombing,SPE1,4
in southern Iraq,in northern Iraq,OPPO,4
kill,kills,EQUI,5
,,NOALI,NIL
Pictures of the day,Pictures of the day,EQUI,5
,,NOALI,NIL
7 August 2013,11 April 2013,SIMI,2
's,,NOALI,NIL
vanishes,returned,OPPO,4
,safely,NOALI,NIL
from National Zoo,to National Zoo,EQUI,5
Red panda,Missing red panda,EQUI,5
Rusty,,NOALI,NIL
Where,,NOALI,NIL
?,,NOALI,NIL
6.3-magnitude earthquake,7.7-magnitude earthquake,SIMI,3
hits,hits,EQUI,5
Taiwan,SW Pakistan,SIMI,2
Heats Up,soar,SIMI,4
,"past $ 1,000",NOALI,NIL
Google and IBM Post Strong Earnings,on strong earnings,SPE1,2
,,NOALI,NIL
Tech Sector,Google shares,REL,3
,Italian journalist,NOALI,NIL
of Kenya,,NOALI,NIL
,picked,NOALI,NIL
Profiles,,NOALI,NIL
's presidential candidates,as presidential candidate,EQUI,5
in Damascus,in Iraqi capital,SIMI,2
Car bombing,Car bombings,EQUI,5
53,13 civilians,SPE2,2
kills,kill,EQUI,5
Israeli air strikes,,NOALI,NIL
condemns,,NOALI,NIL
.,,NOALI,NIL
,Series,NOALI,NIL
Syria,Iraq,SIMI,2
,of deadly attacks,NOALI,NIL
,strikes,NOALI,NIL
,fire,NOALI,NIL
Turkish PM,Turkish police,SIMI,3
urges,,NOALI,NIL
protests,at protesters,SIMI,4
to end,,NOALI,NIL
,teargas,NOALI,NIL
in Istanbul,in Istanbul,EQUI,5
of San Fermin bull-running festival,San Fermin bull-running festival,EQUI,5
by Basque flag,,NOALI,NIL
briefly,,NOALI,NIL
view,,NOALI,NIL
as,,NOALI,NIL
delayed,,NOALI,NIL
obstructed,,NOALI,NIL
Start,starts,EQUI,5
,in prison,NOALI,NIL
,to 30 months,NOALI,NIL
Former LAPD officer,Former CIA officer,SIMI,3
in Irvine slayings,,NOALI,NIL
,sentenced,NOALI,NIL
sought,,NOALI,NIL
,for info leak,NOALI,NIL
,alarming levels,NOALI,NIL
` blasphemy ' rampage answers,,NOALI,NIL
Pakistan court,Pakistan-UN report,REL,2
,of drug use,NOALI,NIL
,reveals,NOALI,NIL
demands,,NOALI,NIL
,Dallas,NOALI,0
50th anniversary,On 50th anniversary,EQUI,5
,holds,NOALI,NIL
remembered,its first memorial,SPE2,3
of JFK 's death,of JFK death,EQUI,5
,",",NOALI,0
Palestinian prisoners,of 26 Palestinian prisoners,SPE2,4
frees,approves release,SIMI,4
Israel,Gov ' t committee,SIMI,3
with Mandela family,to Mandela,REL,3
meets,meets,EQUI,5
,and,NOALI,NIL
,Zuma,NOALI,NIL
,pays tribute,NOALI,NIL
Obama,Obama,EQUI,5
in 3 cities,in three cities,EQUI,5
state,state,EQUI,5
Egypt 's leader,Egypt president,EQUI,5
of emergency,of emergency,EQUI,5
imposes,declares,EQUI,5
receives,Receives,EQUI,5
EU,EU,EQUI,5
Nobel Peace Prize,2012 Nobel Peace Prize,SPE2,4
,Fugitive,NOALI,NIL
to Death,to Death,EQUI,5
,Bangladesh,NOALI,NIL
for War Crimes,by War Crimes Tribunal,REL,3
Bangladesh Opposition Leader,,NOALI,NIL
,,NOALI,NIL
Sentenced,Sentenced,EQUI,5
no casualties,None Hurt,EQUI,5
,Hits,NOALI,NIL
,",",NOALI,NIL
",",,NOALI,NIL
in Libya 's Benghazi,in Benghazi,SPE1,4
Car bomb,Car Bomb,EQUI,5
at Swedish consulate,Swedish Consulate,EQUI,5
`,,NOALI,NIL
will yield,Spur,SIMI,3
,in Geneva,NOALI,NIL
Iran nuclear talks,Iran Nuclear Talks,EQUI,5
',,NOALI,NIL
roadmap,High Hopes,REL,2
hopes,High Hopes,SPE2,4
third nuclear test,Third Nuclear Test,EQUI,5
conducts,Confirms,SIMI_FACT,3
North Korea,North Korea,EQUI,5
Hits,hits,EQUI,5
in 2012,in 2012,EQUI,5
Record $ 38 bn,record US$ 38b,EQUI,5
Macau Gambling Revenue,Macau gambling revenue,EQUI,5
NM County,Some county officials,SPE1,3
Prepares,pave the way,SIMI,4
for Same-Sex Marriages Hearing,for same-sex marriage,SPE1,3
,wins,NOALI,NIL
2020 Olympic Games,2020 Olympics,EQUI,5
,race,NOALI,NIL
Tokyo,Tokyo,EQUI,5
to host,to host,EQUI,5
Indian police,Mumbai police,SPE2,4
round up,arrest,SIMI,3
all five suspects,fifth suspect,SPE1,4
in Mumbai rape case,in gang-rape case,EQUI,5
Syria,about Syria,EQUI,5
on chemical weapons,'s chemical weapons,EQUI,5
warns,,NOALI,NIL
US,U.S. concerns,SPE2,3
,grow,NOALI,NIL
strengthens,weakens,OPPO,4
to 6.2689,to 6.2816,SIMI,4
against USD,against USD,EQUI,5
China yuan,Chinese yuan,EQUI,5
Egypt,Egyptians,EQUI,5
votes,Vote,EQUI,5
in new constitution,On New Constitution,EQUI,5
and,,NOALI,NIL
,Libyan Foreign Ministry,NOALI,NIL
in Benghazi,in Benghazi,EQUI,5
kills wounds,hits,SPE2,2
five,,NOALI,NIL
one,,NOALI,NIL
Car bomb,Car bomb,EQUI,5
on Timbuktu,to Timbuktu,EQUI,5
,access,NOALI,NIL
close in,,NOALI,NIL
French-led troops,French-led troops,EQUI,5
,control,NOALI,NIL
work,access,SPE1,3
at joint industrial zone,to joint industrial zone,EQUI,5
to halt,blocks,SIMI,3
N Korea,North Korea,EQUI,5
vote,vote,EQUI,5
on divisive constitution,on constitution change,SIMI,3
Egyptians,Egyptians,EQUI,5
final big immigration decisions,final big decisions in shaping immigration bill,SPE2,3
nears,nearing,EQUI,5
Committee,Senate Judiciary Committee,SPE2,3
for Boston bomb victims,for Boston victims,SPE1,4
observes,observes,EQUI,5
London Marathon,London Marathon,EQUI,5
silence,silence,EQUI,5
Five dead,,NOALI,NIL
40,40,EQUI,5
in Canada train disaster,in Canadian train wreck,EQUI,5
",",,NOALI,NIL
,still,NOALI,NIL
missing,missing,EQUI,5
for major boost,for major boost,EQUI,5
in Syrian aid,in Syrian aid,EQUI,5
need,,NOALI,NIL
UN presses,UN chief presses,SPE2,4
may delay,to delay,EQUI,5
says,,NOALI,NIL
controversial rocket launch,controversial rocket launch,EQUI,5
,set,NOALI,NIL
N Korea,N. Korea,EQUI,5
it,,NOALI,NIL
,looks,NOALI,NIL
Obama administration,Obama administration,EQUI,5
rocks,rocks,EQUI,5
Critical Gates memoir,Gates blast,SIMI,3
to hacking charges,at phone hacking hearing,SPE2,4
not guilty,not guilty,EQUI,5
pleads,pleads,EQUI,5
Brooks,Brooks,EQUI,5
is working,work,EQUI,5
declares,pledges,REL,2
Obama,Obama,EQUI,5
health care law,new health care law,SPE2,4
,to make,NOALI,NIL
,in Paris,NOALI,NIL
Thousands,Thousands,EQUI,5
protest,protest,EQUI,5
gay marriage,gay marriage,EQUI,5
more ministries,more ministries,EQUI,5
Thai political protests,Thai protesters,SPE1,4
paralyse,besiege,SIMI,4
in talks,in talks,EQUI,5
Exclusive-UPDATE,EXCLUSIVE-UPDATE,EQUI,5
2-Egypt pro-Mursi alliance signals flexibility,1-Egypt pro-Mursi alliance signals flexibility,EQUI,5
Deaths,at least one dead,SPE2,4
into Scottish pub,into pub,EQUI,5
after helicopter,after helicopter,EQUI,5
confirmed,say,SIMI,4
,Scottish police,NOALI,NIL
crashes,crashes,EQUI,5
stage,escape,SIMI,3
Pakistan jailbreak,Taliban prison break,EQUI,5
Militants,250 militants,SPE2,4
,after attack,NOALI,NIL
,on Pakistan jail,NOALI,NIL
,,NOALI,NIL
,roads,NOALI,NIL
brings to a halt,wallops,SIMI,3
US northeast,US Northeast,EQUI,5
,",",NOALI,NIL
Blizzard,Blizzard,EQUI,5
,closes,NOALI,NIL
survives,survives,EQUI,5
bomb,bomb attack,EQUI,5
Egypt interior minister,Egypt 's interior minister,EQUI,5
,draws,NOALI,NIL
violate,,NOALI,NIL
,for Sochi,NOALI,NIL
say,,NOALI,NIL
rights,,NOALI,NIL
's security restrictions,'s security decree,EQUI,5
Putin,Putin,EQUI,5
,ire,NOALI,NIL
Critics,of critics,EQUI,5
Egypt army,Egypt 's military,EQUI,5
on Brotherhood,on Muslim Brotherhood,SPE2,4
cracks down,cracks down,EQUI,5
braces,braces,EQUI,5
",",,NOALI,NIL
Egypt,Egypt,EQUI,5
for more protests,for more protests,EQUI,5
prays,prays,EQUI,5
,",",NOALI,NIL
for calm,for calm,EQUI,5
,over Morsi,NOALI,NIL
disrupts,disrupted,EQUI,5
"between Raffles Place , Marina Bay",between Raffles Place and Marina Bay,EQUI,5
train service,Train service,EQUI,5
Track fault,,NOALI,NIL
sworn in,sworn in,EQUI,5
blasts,,NOALI,NIL
Defiant Mugabe,Mugabe,SPE1,4
for seventh term,for another term,SPE1,4
` vile ' West,,NOALI,NIL
to Oprah,in Oprah interview,EQUI,5
confesses,confesses,EQUI,5
Lance Armstrong,Lance Armstrong,EQUI,5
all,to doping,SIMI,4
after wild party,after alleged embassy orgy,SPE2,4
to Colombia,,NOALI,NIL
Honduran ambassador,Honduras ambassador,EQUI,5
sacked,resigns,SIMI,2
on upbeat US economic data,"by positive US , China data",SPE2,3
gain,lifted,SIMI,4
Asian markets,Asian markets,EQUI,5
landmark nuclear deal,nuclear deal,SPE1,4
Iran,Iran,EQUI,5
sign,agree,SPE1,4
six global powers,world powers,SPE1,4
",",,NOALI,NIL
,",",NOALI,NIL
in air strike in central Syria,in Syrian air strike,SPE1,4
killed,killed,EQUI,5
,`,NOALI,NIL
,',NOALI,NIL
Dozens,Dozens,EQUI,5
on bakery,on bakery,EQUI,5
Mandela ` Inspiration ',Mandela 's inspiration effect,EQUI,5
Obama,Obama,EQUI,5
Praises,hails,EQUI,5
of US debt deal,of U.S. debt deal,EQUI,5
on hopes,on hopes,EQUI,5
Asian markets,Asian stocks,EQUI,5
hit,hit,EQUI,5
3-wk high,three-week highs,EQUI,5
,to stay,NOALI,NIL
operational,,NOALI,NIL
on Syrian border,near Syrian border,SPE1,4
,,NOALI,NIL
,,NOALI,NIL
,in Jordan,NOALI,NIL
,troops,NOALI,NIL
Patriot missile battery,Patriot missile batteries,EQUI,5
,",",NOALI,NIL
NATO,Obama,REL,2
Guinea,Equatoguineans,SIMI,2
votes,vote,EQUI,5
in long-delayed legislative poll,in legislative polls,SPE1,4
Egypt Army,Egypt,EQUI,5
on Sinai Militants,against Sinai militants,EQUI,5
New Air Raids,new assault,SPE1,4
Launches,launches,EQUI,5
,in Chinese coal mine explosion,NOALI,NIL
killed,die,SIMI,4
,At least,NOALI,NIL
2 police,,NOALI,NIL
in eastern Afghan explosion,,NOALI,NIL
,28 people,NOALI,NIL
in violence,,NOALI,NIL
Thai protesters,Thai protesters,EQUI,5
;,,NOALI,NIL
1 dead,,NOALI,NIL
,in Bangkok,NOALI,NIL
vote,polling stations,REL,4
obstruct,block,EQUI,5
it,,NOALI,NIL
brings,,NOALI,5
closer,,NOALI,NIL
,to world peace,NOALI,NIL
to nuclear power status,,NOALI,NIL
,grave threat,NOALI,NIL
,is,NOALI,NIL
North Korea 's third test,North Korea nuclear test,SPE1,4
,says,NOALI,NIL
,NATO,NOALI,NIL
,,NOALI,NIL
,Live coverage,NOALI,NIL
Nelson Mandela memorial service,Nelson Mandela dies,REL,3
,worry,NOALI,NIL
tightens,,NOALI,NIL
Security,,NOALI,NIL
,Security agencies,NOALI,NIL
,about new terrorist threats,NOALI,NIL
for Thatcher funeral,,NOALI,NIL
,in Kenya,NOALI,NIL
killed,killed,EQUI,5
37,12,SIMI,2
in bus crash,in bus accident,SPE1,4
in Italy,in Pakistan,SIMI,2
recognizes,,NOALI,NIL
Syrian opposition,Syrian opposition,EQUI,5
,invites,NOALI,NIL
U.S.,,NOALI,NIL
